stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
IDFM:StopPlaceEntrance:50170178,,av. du Maréchal Foch,,3.0131455082436327,48.56134770777331,,,2,IDFM:62168,,,0,
IDFM:StopPlaceEntrance:50170124,,av. de la Libération,,2.7608191131717685,48.44255944757947,,,2,IDFM:61658,,,0,
IDFM:StopPlaceEntrance:50170183,,av. Ferdinand Dalaine,,2.7605881430648433,48.442801883573495,,,2,IDFM:61658,,,0,
IDFM:StopPlaceEntrance:50170125,,av. de la Liberté,,2.4321861556357907,48.789398226157864,,,2,IDFM:73624,,,0,
IDFM:StopPlaceEntrance:50170126,,av. de la Liberté,,2.4328323012137805,48.78755752743409,,,2,IDFM:73624,,,0,
IDFM:StopPlaceEntrance:50170869,,r. de Naples,,2.4322069048230426,48.78749159951785,,,2,IDFM:73624,,,0,
IDFM:StopPlaceEntrance:50170868,,r. de Naples,,2.4315064902699395,48.78931404894904,,,2,IDFM:73624,,,0,
IDFM:StopPlaceEntrance:50171298,3,r. Waldek Rousseau / r. Brunel,,2.2871326309077857,48.879547829707946,,,2,IDFM:71379,,,0,
IDFM:StopPlaceEntrance:50170636,2,pl. de la Porte Maillot,,2.2843587304336013,48.877993408923594,,,2,IDFM:71379,,,0,
IDFM:StopPlaceEntrance:50170638,1,pl. de la Résistance (Accès Quai A),,2.3011873431309264,48.86252516543843,,,2,IDFM:71271,,,0,
IDFM:StopPlaceEntrance:50170639,2,pl. de la Résistance (Accès Quai B),,2.3011714213033745,48.862695949203804,,,2,IDFM:71271,,,0,
IDFM:StopPlaceEntrance:50148007,2,av. du Gén. de Gaulle,,2.4171898977879955,48.84632851563188,,,2,IDFM:71647,,,0,
IDFM:StopPlaceEntrance:50148006,3,av. Foch,,2.418730716362719,48.84623708284937,,,2,IDFM:71647,,,0,
IDFM:StopPlaceEntrance:50148008,1,av. Joffre,,2.417145500118618,48.846643073095294,,,2,IDFM:71647,,,0,
IDFM:StopPlaceEntrance:50148005,4,r. du Parc,,2.4199038344328714,48.846125860830355,,,2,IDFM:71647,,,0,
IDFM:StopPlaceEntrance:50148004,5,pl. de la Prévoyance,,2.420310406128797,48.84632568929762,,,2,IDFM:71647,,,0,
IDFM:StopPlaceEntrance:50148779,2,bd de Vincennes,,2.4621790617572676,48.8442278872424,,,2,IDFM:71630,,,0,
IDFM:StopPlaceEntrance:50148778,3,av. des Charmes,,2.4620850769556997,48.844092561914415,,,2,IDFM:71630,,,0,
IDFM:StopPlaceEntrance:50148571,1,pl. Moreau-David,,2.464558272700277,48.84342014931842,,,2,IDFM:71630,,,0,
IDFM:StopPlaceEntrance:50148872,7,Forum - Pte du Jour,,2.3438166786338375,48.86317120028048,,,2,IDFM:73794,,,0,
IDFM:StopPlaceEntrance:50148871,5,Forum - Pte Saint-Eustache,,2.34553847772759,48.8628298832187,,,2,IDFM:73794,,,0,
